Safe File	Obfu File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE79_direct-use-of-jinja2_SAFE5.txt	CWE79_direct-use-of-jinja2_obfu.txt	0.1928	0.8544	0.8072	1.0	0.83080	0.8833333333333333	Strong
CWE79_direct-use-of-jinja2-import-template_SAFE1.txt	CWE79_direct-use-of-jinja2-import-template_obfu.txt	0.3841	0.5805	0.6159	1.0	0.59820	0.55	Moderate
CWE79_direct-use-of-jinja2-import-template_SAFE2.txt	CWE79_direct-use-of-jinja2-import-template_obfu.txt	0.3427	0.6657	0.6573	1.0	0.66150	0.5915688575366709	Moderate
CWE79_direct-use-of-jinja2-import-template_SAFE3.txt	CWE79_direct-use-of-jinja2-import-template_obfu.txt	0.4308	0.5732	0.5692	1.0	0.57120	0.5499999999999999	Moderate
CWE79_direct-use-of-jinja2-import-template_SAFE4.txt	CWE79_direct-use-of-jinja2-import-template_obfu.txt	0.3847	0.5805	0.6153	1.0	0.59790	0.5500000000000002	Moderate
CWE79_direct-use-of-jinja2-import-template_SAFE5.txt	CWE79_direct-use-of-jinja2-import-template_obfu.txt	0.3389	0.6657	0.6611	1.0	0.66340	0.5974966023795377	Moderate
CWE79_response-contains-unsanitized-input_SAFE1.txt	CWE79_response-contains-unsanitized-input_obfu.txt	0.2522	0.8977	0.7478	1.0	0.82275	0.8776038428953238	Strong
CWE79_response-contains-unsanitized-input_SAFE2.txt	CWE79_response-contains-unsanitized-input_obfu.txt	0.1989	0.9687	0.8011	1.0	0.88490	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_SAFE3.txt	CWE79_response-contains-unsanitized-input_obfu.txt	0.1989	0.9687	0.8011	1.0	0.88490	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_SAFE4.txt	CWE79_response-contains-unsanitized-input_obfu.txt	0.2522	0.8977	0.7478	1.0	0.82275	0.8776038428953238	Strong
CWE79_response-contains-unsanitized-input_SAFE5.txt	CWE79_response-contains-unsanitized-input_obfu.txt	0.1740	0.9687	0.8260	1.0	0.89735	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input-2_SAFE1.txt	CWE79_response-contains-unsanitized-input-2_obfu.txt	0.1527	0.8963	0.8473	1.0	0.87180	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input-2_SAFE2.txt	CWE79_response-contains-unsanitized-input-2_obfu.txt	0.1527	0.8963	0.8473	1.0	0.87180	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input-2_SAFE3.txt	CWE79_response-contains-unsanitized-input-2_obfu.txt	0.1527	0.8963	0.8473	1.0	0.87180	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input-2_SAFE4.txt	CWE79_response-contains-unsanitized-input-2_obfu.txt	0.1527	0.8963	0.8473	1.0	0.87180	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input-2_SAFE5.txt	CWE79_response-contains-unsanitized-input-2_obfu.txt	0.1527	0.8963	0.8473	1.0	0.87180	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_3_SAFE1.txt	CWE79_response-contains-unsanitized-input_3_obfu.txt	0.2129	0.8977	0.7871	1.0	0.84240	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_3_SAFE2.txt	CWE79_response-contains-unsanitized-input_3_obfu.txt	0.1285	0.9687	0.8715	1.0	0.92010	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_3_SAFE3.txt	CWE79_response-contains-unsanitized-input_3_obfu.txt	0.1519	0.9687	0.8481	1.0	0.90840	0.8833333333333333	Strong
